clip_id,location_type,width,height,fps_video,frames_totales,frames_analizados,frames_descartados,pct_analizado,detecciones,personas_unicas,max_simultaneas,conf_media,entradas,salidas,cruzaron_linea,reenganches_reid,cpu_ms_motion,gpu_ms_person,cpu_ms_tracking,cpu_ms_conteo,gpu_ms_reid,wall_ms,fps_pipeline,cpu_ms_por_frame,gpu_ms_por_frame_analizado,costo_usd_cpu,costo_usd_gpu
shoplifting_shoplifting-10,other,640,480,30.0,321,291,0,100.0,342,4,2,0.8578,1,0,1,0,2045.339,3073.635,4.233,113.156,85.987,6071.884,52.87,6.737,10.858,0.0,0.0
shoplifting_shoplifting-11,other,640,480,30.0,344,120,194,38.22,120,1,1,0.9107,0,0,0,0,2034.345,1332.738,1.732,48.833,23.617,4221.589,81.49,6.061,11.303,0.0,0.0
shoplifting_shoplifting-12,other,640,480,30.0,322,245,47,83.9,245,1,1,0.9069,0,0,0,0,2031.484,2559.394,3.399,96.3,54.907,5447.936,59.1,6.619,10.671,0.0,0.0
shoplifting_shoplifting-13,other,640,480,30.0,334,64,240,21.05,64,1,1,0.9201,0,0,0,0,1612.342,641.306,0.838,22.856,22.867,2935.164,113.79,4.898,10.378,0.0,0.0
shoplifting_shoplifting-14,other,640,480,30.0,325,233,62,78.98,269,2,2,0.8179,1,0,1,0,1691.837,2466.308,3.349,90.713,58.932,5023.426,64.7,5.495,10.838,0.0,0.0
shoplifting_shoplifting-15,other,640,480,30.0,312,134,148,47.52,151,2,2,0.8508,0,1,1,0,1636.777,1487.194,1.972,54.519,60.487,4077.126,76.52,5.427,11.55,0.0,0.0
shoplifting_shoplifting-16,other,640,480,30.0,306,251,25,90.94,255,2,2,0.8644,0,1,1,0,1855.063,2889.434,3.748,101.62,73.462,5672.398,53.95,6.407,11.804,0.0,0.0
shoplifting_shoplifting-17,other,640,480,30.0,321,207,84,71.13,208,1,2,0.868,0,1,1,0,1913.786,2227.978,2.847,76.029,58.636,5003.662,64.15,6.208,11.046,0.0,0.0
shoplifting_shoplifting-18,other,640,480,30.0,341,283,28,91.0,340,2,2,0.804,0,1,1,1,1857.73,3071.771,4.259,115.64,92.93,5902.306,57.77,5.799,11.183,0.0,0.0
shoplifting_shoplifting-19,other,640,480,30.0,305,191,84,69.45,406,3,3,0.7155,0,1,1,0,1655.794,2080.526,3.408,102.303,100.124,4701.089,64.88,5.775,11.417,0.0,0.0
shoplifting_shoplifting-2,other,640,480,30.0,341,298,13,95.82,591,3,3,0.7513,0,1,1,1,2052.261,3498.754,5.537,167.293,93.858,6758.031,50.46,6.525,12.056,0.0,0.0
shoplifting_shoplifting-20,other,640,480,30.0,335,171,134,56.07,367,4,3,0.7399,0,1,1,0,1757.144,1897.302,3.121,92.744,69.644,4573.791,73.24,5.531,11.503,0.0,0.0
shoplifting_shoplifting-21,other,640,480,30.0,320,140,150,48.28,140,1,1,0.8788,0,0,0,0,1816.703,1548.898,2.025,56.02,37.439,4143.688,77.23,5.859,11.331,0.0,0.0
shoplifting_shoplifting-22,other,640,480,30.0,326,194,102,65.54,201,2,2,0.8777,1,0,1,0,1618.615,2016.136,2.62,70.612,55.328,4445.015,73.34,5.19,10.678,0.0,0.0
shoplifting_shoplifting-23,other,640,480,30.0,335,174,131,57.05,397,3,4,0.7138,0,1,1,0,1777.886,1848.909,3.126,92.244,87.732,4515.489,74.19,5.592,11.13,0.0,0.0
shoplifting_shoplifting-24,other,640,480,30.0,327,224,73,75.42,482,3,3,0.8072,0,1,1,0,1931.523,2540.453,4.051,125.732,69.556,5615.527,58.23,6.304,11.652,0.0,0.0
shoplifting_shoplifting-25,other,640,480,30.0,335,198,107,64.92,450,4,3,0.736,0,1,1,1,1697.554,2089.582,3.61,102.649,87.065,4707.434,71.16,5.385,10.993,0.0,0.0
shoplifting_shoplifting-26,other,640,480,30.0,320,197,93,67.93,394,2,2,0.8253,1,0,1,0,1707.343,2057.116,3.391,95.012,53.676,4606.748,69.46,5.643,10.715,0.0,0.0
shoplifting_shoplifting-27,other,640,480,30.0,309,227,52,81.36,455,2,3,0.8042,1,0,1,0,1785.933,2345.547,3.905,109.656,64.35,5032.068,61.41,6.147,10.616,0.0,0.0
shoplifting_shoplifting-28,other,640,480,30.0,334,284,20,93.42,568,2,2,0.8087,1,0,1,1,1978.774,2953.341,4.898,142.373,109.661,5942.074,56.21,6.365,10.785,0.0,0.0
shoplifting_shoplifting-29,other,640,480,30.0,347,237,80,74.76,237,1,1,0.8737,0,0,0,0,2256.952,2551.792,3.312,94.309,46.999,5680.568,61.09,6.786,10.965,0.0,0.0
shoplifting_shoplifting-3,other,640,480,30.0,335,166,139,54.43,167,1,2,0.8951,0,1,1,0,1959.764,1771.605,2.328,65.216,36.669,4502.419,74.4,6.052,10.893,0.0,0.0
shoplifting_shoplifting-30,other,640,480,30.0,320,217,73,74.83,421,3,2,0.7722,1,0,1,0,1790.871,2356.29,3.891,110.132,90.953,5106.281,62.67,5.953,11.278,0.0,0.0
shoplifting_shoplifting-31,other,640,480,30.0,316,178,108,62.24,176,1,1,0.8738,1,0,1,0,1690.981,1820.665,2.35,61.764,32.886,4262.761,74.13,5.554,10.413,0.0,0.0
shoplifting_shoplifting-32,other,640,480,30.0,322,235,57,80.48,235,1,1,0.8998,1,0,1,0,1737.001,2470.479,3.243,85.21,45.703,5150.8,62.51,5.669,10.707,0.0,0.0
shoplifting_shoplifting-33,other,640,480,30.0,327,192,105,64.65,192,1,1,0.9064,1,0,1,0,1957.415,2115.604,2.76,74.563,46.863,4901.678,66.71,6.222,11.263,0.0,0.0
shoplifting_shoplifting-34,other,640,480,30.0,300,228,42,84.44,254,3,3,0.8017,2,0,2,2,1859.115,2361.407,3.169,87.291,95.597,5121.714,58.57,6.499,10.776,0.0,0.0
shoplifting_shoplifting-35,other,640,480,30.0,313,230,53,81.27,214,1,1,0.8931,1,0,1,0,2147.765,2431.207,3.032,86.74,45.069,5407.841,57.88,7.149,10.766,0.0,0.0
shoplifting_shoplifting-36,other,640,480,30.0,273,238,5,97.94,240,2,2,0.8594,1,0,1,0,1643.658,2469.79,3.28,85.305,58.605,4967.868,54.95,6.345,10.624,0.0,0.0
shoplifting_shoplifting-37,other,640,480,30.0,329,263,36,87.96,263,1,1,0.8751,1,0,1,0,1950.035,2905.219,3.679,97.839,61.122,5763.234,57.09,6.236,11.279,0.0,0.0
shoplifting_shoplifting-38,other,640,480,30.0,318,168,120,58.33,168,1,1,0.8437,0,1,1,0,1713.807,1787.075,2.298,61.283,34.023,4280.857,74.28,5.589,10.84,0.0,0.0
shoplifting_shoplifting-39,other,640,480,30.0,346,123,193,38.92,123,1,1,0.902,0,1,1,0,1990.899,1309.783,1.707,48.315,34.703,4064.545,85.13,5.899,10.931,0.0,0.0
shoplifting_shoplifting-4,other,640,480,30.0,343,256,57,81.79,263,3,2,0.854,0,2,2,0,1905.422,2618.321,3.519,92.798,67.891,5415.245,63.34,5.836,10.493,0.0,0.0
shoplifting_shoplifting-40,other,640,480,30.0,324,144,150,48.98,144,1,1,0.8909,0,1,1,0,1750.43,1554.418,2.048,55.87,40.406,4063.885,79.73,5.581,11.075,0.0,0.0
shoplifting_shoplifting-41,other,640,480,30.0,211,108,73,59.67,195,3,3,0.8137,0,1,1,0,1201.921,1119.722,1.769,48.905,48.347,3142.335,67.15,5.936,10.815,0.0,0.0
shoplifting_shoplifting-42,other,640,480,30.0,311,140,141,49.82,280,2,2,0.8471,0,1,1,0,1616.996,1468.905,2.38,69.329,41.003,3881.149,80.13,5.43,10.785,0.0,0.0
shoplifting_shoplifting-43,other,640,480,30.0,397,292,75,79.56,566,3,3,0.8707,0,0,0,0,2255.324,3055.68,4.958,146.371,122.695,6364.501,62.38,6.062,10.885,0.0,0.0
shoplifting_shoplifting-44,other,640,480,30.0,357,193,134,59.02,386,2,2,0.8859,0,0,0,0,2051.725,2052.517,3.369,99.291,59.832,4982.811,71.65,6.035,10.945,0.0,0.0
